Duración del viaje;Periodo;Total
Ninguna noche;2020M12;17.476.868,00
1 noche;2020M12;1.307.881,00
De 2 a 3 noches;2020M12;3.283.671,00
De 4 a 7 noches;2020M12;8.251.087,00
De 8 a 15 noches;2020M12;4.125.222,00
Más de 15 noches;2020M12;1.965.242,00
Ninguna noche;2020M11;16.551.709,00
1 noche;2020M11;1.212.104,00
De 2 a 3 noches;2020M11;3.189.808,00
De 4 a 7 noches;2020M11;8.014.564,00
De 8 a 15 noches;2020M11;4.012.018,00
Más de 15 noches;2020M11;1.855.620,00
Ninguna noche;2020M10;16.008.247,00
1 noche;2020M10;1.166.093,00
De 2 a 3 noches;2020M10;3.116.201,00
De 4 a 7 noches;2020M10;7.854.408,00
De 8 a 15 noches;2020M10;3.904.849,00
Más de 15 noches;2020M10;1.785.750,00
Ninguna noche;2020M09;14.347.121,00
1 noche;2020M09;1.057.982,00
De 2 a 3 noches;2020M09;2.941.915,00
De 4 a 7 noches;2020M09;7.443.625,00
De 8 a 15 noches;2020M09;3.704.268,00
Más de 15 noches;2020M09;1.658.736,00
Ninguna noche;2020M08;12.471.013,00
1 noche;2020M08;914.977,00
De 2 a 3 noches;2020M08;2.736.019,00
De 4 a 7 noches;2020M08;7.063.339,00
De 8 a 15 noches;2020M08;3.452.980,00
Más de 15 noches;2020M08;1.500.343,00
Ninguna noche;2020M07;9.557.222,00
1 noche;2020M07;757.243,00
De 2 a 3 noches;2020M07;2.494.345,00
De 4 a 7 noches;2020M07;6.136.407,00
De 8 a 15 noches;2020M07;2.686.761,00
Más de 15 noches;2020M07;1.151.923,00
Ninguna noche;2020M06;7.258.520,00
1 noche;2020M06;626.876,00
De 2 a 3 noches;2020M06;2.196.493,00
De 4 a 7 noches;2020M06;5.098.102,00
De 8 a 15 noches;2020M06;1.933.921,00
Más de 15 noches;2020M06;906.510,00
Ninguna noche;2020M05;6.806.611,00
1 noche;2020M05;610.193,00
De 2 a 3 noches;2020M05;2.144.191,00
De 4 a 7 noches;2020M05;5.020.716,00
De 8 a 15 noches;2020M05;1.895.620,00
Más de 15 noches;2020M05;886.909,00
Ninguna noche;2020M04;6.806.611,00
1 noche;2020M04;610.193,00
De 2 a 3 noches;2020M04;2.144.191,00
De 4 a 7 noches;2020M04;5.020.716,00
De 8 a 15 noches;2020M04;1.895.620,00
Más de 15 noches;2020M04;886.909,00
Ninguna noche;2020M03;6.806.611,00
1 noche;2020M03;610.193,00
De 2 a 3 noches;2020M03;2.144.191,00
De 4 a 7 noches;2020M03;5.020.716,00
De 8 a 15 noches;2020M03;1.895.620,00
Más de 15 noches;2020M03;886.909,00
Ninguna noche;2020M02;5.471.837,00
1 noche;2020M02;496.724,00
De 2 a 3 noches;2020M02;1.709.417,00
De 4 a 7 noches;2020M02;4.062.008,00
De 8 a 15 noches;2020M02;1.572.317,00
Más de 15 noches;2020M02;719.902,00
Ninguna noche;2020M01;2.724.766,00
1 noche;2020M01;253.786,00
De 2 a 3 noches;2020M01;770.611,00
De 4 a 7 noches;2020M01;1.817.996,00
De 8 a 15 noches;2020M01;887.120,00
Más de 15 noches;2020M01;403.511,00
Ninguna noche;2019M12;42.660.933,00
1 noche;2019M12;4.220.546,00
De 2 a 3 noches;2019M12;15.486.323,00
De 4 a 7 noches;2019M12;39.692.993,00
De 8 a 15 noches;2019M12;18.819.043,00
Más de 15 noches;2019M12;5.290.248,00
Ninguna noche;2019M11;39.630.113,00
1 noche;2019M11;3.945.339,00
De 2 a 3 noches;2019M11;14.519.207,00
De 4 a 7 noches;2019M11;37.711.237,00
De 8 a 15 noches;2019M11;18.090.981,00
Más de 15 noches;2019M11;4.937.648,00
Ninguna noche;2019M10;36.678.992,00
1 noche;2019M10;3.661.542,00
De 2 a 3 noches;2019M10;13.423.989,00
De 4 a 7 noches;2019M10;35.542.360,00
De 8 a 15 noches;2019M10;17.279.414,00
Más de 15 noches;2019M10;4.642.087,00
Ninguna noche;2019M09;33.232.194,00
1 noche;2019M09;3.243.899,00
De 2 a 3 noches;2019M09;11.984.348,00
De 4 a 7 noches;2019M09;31.897.768,00
De 8 a 15 noches;2019M09;15.655.638,00
Más de 15 noches;2019M09;4.179.990,00
Ninguna noche;2019M08;29.378.466,00
1 noche;2019M08;2.824.750,00
De 2 a 3 noches;2019M08;10.446.346,00
De 4 a 7 noches;2019M08;27.696.388,00
De 8 a 15 noches;2019M08;13.470.532,00
Más de 15 noches;2019M08;3.678.474,00
Ninguna noche;2019M07;23.340.944,00
1 noche;2019M07;2.280.567,00
De 2 a 3 noches;2019M07;9.344.097,00
De 4 a 7 noches;2019M07;23.317.475,00
De 8 a 15 noches;2019M07;10.210.464,00
Más de 15 noches;2019M07;2.845.522,00
Ninguna noche;2019M06;18.679.276,00
1 noche;2019M06;1.846.507,00
De 2 a 3 noches;2019M06;8.017.720,00
De 4 a 7 noches;2019M06;18.837.576,00
De 8 a 15 noches;2019M06;7.231.443,00
Más de 15 noches;2019M06;2.191.607,00
Ninguna noche;2019M05;15.207.214,00
1 noche;2019M05;1.494.420,00
De 2 a 3 noches;2019M05;6.218.531,00
De 4 a 7 noches;2019M05;14.520.177,00
De 8 a 15 noches;2019M05;5.292.074,00
Más de 15 noches;2019M05;1.765.759,00
Ninguna noche;2019M04;11.762.709,00
1 noche;2019M04;1.139.980,00
De 2 a 3 noches;2019M04;4.500.815,00
De 4 a 7 noches;2019M04;10.463.580,00
De 8 a 15 noches;2019M04;3.847.821,00
Más de 15 noches;2019M04;1.419.560,00
Ninguna noche;2019M03;8.186.851,00
1 noche;2019M03;809.194,00
De 2 a 3 noches;2019M03;3.135.701,00
De 4 a 7 noches;2019M03;6.654.224,00
De 8 a 15 noches;2019M03;2.550.035,00
Más de 15 noches;2019M03;1.076.570,00
Ninguna noche;2019M02;5.193.260,00
1 noche;2019M02;495.347,00
De 2 a 3 noches;2019M02;1.836.366,00
De 4 a 7 noches;2019M02;3.912.455,00
De 8 a 15 noches;2019M02;1.618.707,00
Más de 15 noches;2019M02;713.271,00
Ninguna noche;2019M01;2.589.024,00
1 noche;2019M01;216.604,00
De 2 a 3 noches;2019M01;844.199,00
De 4 a 7 noches;2019M01;1.799.493,00
De 8 a 15 noches;2019M01;926.266,00
Más de 15 noches;2019M01;409.080,00
Ninguna noche;2018M12;41.647.253,00
1 noche;2018M12;4.415.509,00
De 2 a 3 noches;2018M12;14.606.759,00
De 4 a 7 noches;2018M12;38.786.818,00
De 8 a 15 noches;2018M12;19.484.451,00
Más de 15 noches;2018M12;5.514.877,00
Ninguna noche;2018M11;38.770.598,00
1 noche;2018M11;4.136.044,00
De 2 a 3 noches;2018M11;13.582.575,00
De 4 a 7 noches;2018M11;36.854.398,00
De 8 a 15 noches;2018M11;18.751.341,00
Más de 15 noches;2018M11;5.129.258,00
Ninguna noche;2018M10;36.066.462,00
1 noche;2018M10;3.891.737,00
De 2 a 3 noches;2018M10;12.532.534,00
De 4 a 7 noches;2018M10;34.747.548,00
De 8 a 15 noches;2018M10;17.909.246,00
Más de 15 noches;2018M10;4.835.677,00
Ninguna noche;2018M09;32.562.857,00
1 noche;2018M09;3.517.930,00
De 2 a 3 noches;2018M09;11.096.173,00
De 4 a 7 noches;2018M09;31.025.853,00
De 8 a 15 noches;2018M09;16.212.539,00
Más de 15 noches;2018M09;4.414.387,00
Ninguna noche;2018M08;28.691.545,00
1 noche;2018M08;3.053.039,00
De 2 a 3 noches;2018M08;9.627.800,00
De 4 a 7 noches;2018M08;26.895.667,00
De 8 a 15 noches;2018M08;13.886.551,00
Más de 15 noches;2018M08;3.871.518,00
Ninguna noche;2018M07;22.745.530,00
1 noche;2018M07;2.487.879,00
De 2 a 3 noches;2018M07;8.519.842,00
De 4 a 7 noches;2018M07;22.666.019,00
De 8 a 15 noches;2018M07;10.474.741,00
Más de 15 noches;2018M07;3.010.333,00
Ninguna noche;2018M06;17.999.669,00
1 noche;2018M06;1.960.768,00
De 2 a 3 noches;2018M06;7.113.298,00
De 4 a 7 noches;2018M06;18.250.266,00
De 8 a 15 noches;2018M06;7.476.029,00
Más de 15 noches;2018M06;2.338.206,00
Ninguna noche;2018M05;14.773.242,00
1 noche;2018M05;1.534.572,00
De 2 a 3 noches;2018M05;5.645.035,00
De 4 a 7 noches;2018M05;14.010.070,00
De 8 a 15 noches;2018M05;5.502.661,00
Más de 15 noches;2018M05;1.891.924,00
Ninguna noche;2018M04;11.235.272,00
1 noche;2018M04;1.113.029,00
De 2 a 3 noches;2018M04;4.065.032,00
De 4 a 7 noches;2018M04;9.927.538,00
De 8 a 15 noches;2018M04;3.886.727,00
Más de 15 noches;2018M04;1.505.888,00
Ninguna noche;2018M03;7.714.111,00
1 noche;2018M03;752.909,00
De 2 a 3 noches;2018M03;2.688.947,00
De 4 a 7 noches;2018M03;6.469.812,00
De 8 a 15 noches;2018M03;2.619.847,00
Más de 15 noches;2018M03;1.186.319,00
Ninguna noche;2018M02;4.780.988,00
1 noche;2018M02;468.613,00
De 2 a 3 noches;2018M02;1.623.515,00
De 4 a 7 noches;2018M02;3.755.208,00
De 8 a 15 noches;2018M02;1.701.719,00
Más de 15 noches;2018M02;775.592,00
Ninguna noche;2018M01;2.383.273,00
1 noche;2018M01;210.323,00
De 2 a 3 noches;2018M01;704.943,00
De 4 a 7 noches;2018M01;1.750.190,00
De 8 a 15 noches;2018M01;1.005.572,00
Más de 15 noches;2018M01;435.573,00
Ninguna noche;2017M12;39.848.764,00
1 noche;2017M12;4.078.375,00
De 2 a 3 noches;2017M12;14.235.659,00
De 4 a 7 noches;2017M12;38.057.347,00
De 8 a 15 noches;2017M12;19.697.307,00
Más de 15 noches;2017M12;5.799.834,00
Ninguna noche;2017M11;36.893.521,00
1 noche;2017M11;3.832.648,00
De 2 a 3 noches;2017M11;13.351.063,00
De 4 a 7 noches;2017M11;36.246.290,00
De 8 a 15 noches;2017M11;19.030.768,00
Más de 15 noches;2017M11;5.425.222,00
Ninguna noche;2017M10;34.312.476,00
1 noche;2017M10;3.568.635,00
De 2 a 3 noches;2017M10;12.444.214,00
De 4 a 7 noches;2017M10;34.235.551,00
De 8 a 15 noches;2017M10;18.173.857,00
Más de 15 noches;2017M10;5.071.159,00
Ninguna noche;2017M09;31.046.593,00
1 noche;2017M09;3.242.813,00
De 2 a 3 noches;2017M09;11.085.481,00
De 4 a 7 noches;2017M09;30.763.155,00
De 8 a 15 noches;2017M09;16.522.226,00
Más de 15 noches;2017M09;4.609.812,00
Ninguna noche;2017M08;27.548.901,00
1 noche;2017M08;2.805.938,00
De 2 a 3 noches;2017M08;9.661.379,00
De 4 a 7 noches;2017M08;26.619.628,00
De 8 a 15 noches;2017M08;14.160.678,00
Más de 15 noches;2017M08;4.098.593,00
Ninguna noche;2017M07;22.111.117,00
1 noche;2017M07;2.221.038,00
De 2 a 3 noches;2017M07;8.466.973,00
De 4 a 7 noches;2017M07;22.558.668,00
De 8 a 15 noches;2017M07;10.615.883,00
Más de 15 noches;2017M07;3.085.909,00
Ninguna noche;2017M06;17.483.059,00
1 noche;2017M06;1.700.316,00
De 2 a 3 noches;2017M06;7.120.515,00
De 4 a 7 noches;2017M06;17.954.400,00
De 8 a 15 noches;2017M06;7.352.185,00
Más de 15 noches;2017M06;2.327.617,00
Ninguna noche;2017M05;14.429.755,00
1 noche;2017M05;1.331.625,00
De 2 a 3 noches;2017M05;5.697.625,00
De 4 a 7 noches;2017M05;13.805.323,00
De 8 a 15 noches;2017M05;5.341.506,00
Más de 15 noches;2017M05;1.846.979,00
Ninguna noche;2017M04;10.994.130,00
1 noche;2017M04;955.166,00
De 2 a 3 noches;2017M04;3.981.830,00
De 4 a 7 noches;2017M04;9.852.021,00
De 8 a 15 noches;2017M04;3.807.584,00
Más de 15 noches;2017M04;1.423.810,00
Ninguna noche;2017M03;7.414.772,00
1 noche;2017M03;636.073,00
De 2 a 3 noches;2017M03;2.770.994,00
De 4 a 7 noches;2017M03;6.032.830,00
De 8 a 15 noches;2017M03;2.391.225,00
Más de 15 noches;2017M03;1.107.694,00
Ninguna noche;2017M02;4.776.246,00
1 noche;2017M02;396.231,00
De 2 a 3 noches;2017M02;1.675.541,00
De 4 a 7 noches;2017M02;3.659.519,00
De 8 a 15 noches;2017M02;1.568.656,00
Más de 15 noches;2017M02;724.927,00
Ninguna noche;2017M01;2.295.038,00
1 noche;2017M01;198.582,00
De 2 a 3 noches;2017M01;717.858,00
De 4 a 7 noches;2017M01;1.683.785,00
De 8 a 15 noches;2017M01;901.250,00
Más de 15 noches;2017M01;404.260,00
Ninguna noche;2016M12;40.246.069,00
1 noche;2016M12;3.525.195,00
De 2 a 3 noches;2016M12;12.249.237,00
De 4 a 7 noches;2016M12;34.964.628,00
De 8 a 15 noches;2016M12;19.213.628,00
Más de 15 noches;2016M12;5.362.319,00
Ninguna noche;2016M11;37.357.461,00
1 noche;2016M11;3.269.704,00
De 2 a 3 noches;2016M11;11.419.230,00
De 4 a 7 noches;2016M11;33.199.835,00
De 8 a 15 noches;2016M11;18.486.656,00
Más de 15 noches;2016M11;4.949.137,00
Ninguna noche;2016M10;34.832.589,00
1 noche;2016M10;3.018.486,00
De 2 a 3 noches;2016M10;10.392.073,00
De 4 a 7 noches;2016M10;31.352.797,00
De 8 a 15 noches;2016M10;17.775.287,00
Más de 15 noches;2016M10;4.687.659,00
Ninguna noche;2016M09;31.731.364,00
1 noche;2016M09;2.731.727,00
De 2 a 3 noches;2016M09;9.113.734,00
De 4 a 7 noches;2016M09;27.906.202,00
De 8 a 15 noches;2016M09;16.080.402,00
Más de 15 noches;2016M09;4.256.514,00
Ninguna noche;2016M08;28.332.397,00
1 noche;2016M08;2.367.955,00
De 2 a 3 noches;2016M08;7.912.631,00
De 4 a 7 noches;2016M08;24.305.656,00
De 8 a 15 noches;2016M08;13.836.664,00
Más de 15 noches;2016M08;3.733.065,00
Ninguna noche;2016M07;22.594.141,00
1 noche;2016M07;1.733.352,00
De 2 a 3 noches;2016M07;6.929.895,00
De 4 a 7 noches;2016M07;20.450.591,00
De 8 a 15 noches;2016M07;10.272.976,00
Más de 15 noches;2016M07;2.741.687,00
Ninguna noche;2016M06;18.036.687,00
1 noche;2016M06;1.335.947,00
De 2 a 3 noches;2016M06;5.875.397,00
De 4 a 7 noches;2016M06;16.160.647,00
De 8 a 15 noches;2016M06;7.171.875,00
Más de 15 noches;2016M06;2.038.843,00
Ninguna noche;2016M05;14.706.481,00
1 noche;2016M05;1.039.079,00
De 2 a 3 noches;2016M05;4.730.032,00
De 4 a 7 noches;2016M05;12.537.883,00
De 8 a 15 noches;2016M05;5.143.864,00
Más de 15 noches;2016M05;1.579.093,00
Ninguna noche;2016M04;11.408.338,00
1 noche;2016M04;787.876,00
De 2 a 3 noches;2016M04;3.259.954,00
De 4 a 7 noches;2016M04;8.997.200,00
De 8 a 15 noches;2016M04;3.638.304,00
Más de 15 noches;2016M04;1.235.462,00
Ninguna noche;2016M03;8.240.214,00
1 noche;2016M03;540.131,00
De 2 a 3 noches;2016M03;2.155.353,00
De 4 a 7 noches;2016M03;5.820.142,00
De 8 a 15 noches;2016M03;2.373.193,00
Más de 15 noches;2016M03;943.650,00
Ninguna noche;2016M02;5.182.917,00
1 noche;2016M02;327.208,00
De 2 a 3 noches;2016M02;1.318.601,00
De 4 a 7 noches;2016M02;3.459.480,00
De 8 a 15 noches;2016M02;1.464.173,00
Más de 15 noches;2016M02;635.801,00
Ninguna noche;2016M01;2.606.782,00
1 noche;2016M01;173.454,00
De 2 a 3 noches;2016M01;613.686,00
De 4 a 7 noches;2016M01;1.597.268,00
De 8 a 15 noches;2016M01;782.868,00
Más de 15 noches;2016M01;359.261,00
Ninguna noche;2015M12;
1 noche;2015M12;
De 2 a 3 noches;2015M12;
De 4 a 7 noches;2015M12;
De 8 a 15 noches;2015M12;
Más de 15 noches;2015M12;
Ninguna noche;2015M11;
1 noche;2015M11;
De 2 a 3 noches;2015M11;
De 4 a 7 noches;2015M11;
De 8 a 15 noches;2015M11;
Más de 15 noches;2015M11;
Ninguna noche;2015M10;
1 noche;2015M10;
De 2 a 3 noches;2015M10;
De 4 a 7 noches;2015M10;
De 8 a 15 noches;2015M10;
Más de 15 noches;2015M10;
