Motivo del viaje;Total;Año;Meses_num;Meses
Ocio;15.533.526,00;2020;12;diciembre
Ocio;15.148.112,00;2020;11;noviembre
Ocio;14.852.465,00;2020;10;octubre
Ocio;14.051.513,00;2020;9;septiembre
Ocio;13.148.925,00;2020;8;agosto
Ocio;10.979.570,00;2020;7;julio
Ocio;8.857.453,00;2020;6;junio
Ocio;8.689.820,00;2020;5;mayo
Ocio;8.689.820,00;2020;4;abril
Ocio;8.689.820,00;2020;3;marzo
Ocio;7.032.701,00;2020;2;febrero
Ocio;3.377.951,00;2020;1;enero
Ocio;72.976.423,00;2019;12;diciembre
Ocio;69.443.262,00;2019;11;noviembre
Ocio;65.627.411,00;2019;10;octubre
Ocio;58.999.137,00;2019;9;septiembre
Ocio;51.051.583,00;2019;8;agosto
Ocio;41.600.133,00;2019;7;julio
Ocio;32.624.486,00;2019;6;junio
Ocio;24.806.870,00;2019;5;mayo
Ocio;17.888.882,00;2019;4;abril
Ocio;11.676.316,00;2019;3;marzo
Ocio;6.991.015,00;2019;2;febrero
Ocio;3.440.353,00;2019;1;enero
Ocio;72.173.054,00;2018;12;diciembre
Ocio;68.601.647,00;2018;11;noviembre
Ocio;64.838.279,00;2018;10;octubre
Ocio;58.130.853,00;2018;9;septiembre
Ocio;50.143.792,00;2018;8;agosto
Ocio;40.773.063,00;2018;7;julio
Ocio;31.702.741,00;2018;6;junio
Ocio;24.194.611,00;2018;5;mayo
Ocio;17.045.027,00;2018;4;abril
Ocio;11.262.231,00;2018;3;marzo
Ocio;6.920.572,00;2018;2;febrero
Ocio;3.462.200,00;2018;1;enero
Ocio;71.087.103,00;2017;12;diciembre
Ocio;67.869.730,00;2017;11;noviembre
Ocio;64.193.148,00;2017;10;octubre
Ocio;57.861.337,00;2017;9;septiembre
Ocio;49.911.995,00;2017;8;agosto
Ocio;40.315.979,00;2017;7;julio
Ocio;30.888.018,00;2017;6;junio
Ocio;23.486.441,00;2017;5;mayo
Ocio;16.590.874,00;2017;4;abril
Ocio;10.525.190,00;2017;3;marzo
Ocio;6.530.103,00;2017;2;febrero
Ocio;3.142.597,00;2017;1;enero
Ocio;64.311.744,00;2016;12;diciembre
Ocio;61.195.806,00;2016;11;noviembre
Ocio;57.943.855,00;2016;10;octubre
Ocio;51.843.400,00;2016;9;septiembre
Ocio;44.785.543,00;2016;8;agosto
Ocio;35.488.643,00;2016;7;julio
Ocio;26.823.889,00;2016;6;junio
Ocio;20.232.525,00;2016;5;mayo
Ocio;14.154.335,00;2016;4;abril
Ocio;9.233.320,00;2016;3;marzo
Ocio;5.486.263,00;2016;2;febrero
Ocio;2.671.999,00;2016;1;enero
Negocio;1.346.060,00;2020;12;diciembre
Negocio;1.243.006,00;2020;11;noviembre
Negocio;1.162.013,00;2020;10;octubre
Negocio;1.091.545,00;2020;9;septiembre
Negocio;1.016.668,00;2020;8;agosto
Negocio;970.868,00;2020;7;julio
Negocio;873.469,00;2020;6;junio
Negocio;860.788,00;2020;5;mayo
Negocio;860.788,00;2020;4;abril
Negocio;860.788,00;2020;3;marzo
Negocio;723.675,00;2020;2;febrero
Negocio;370.060,00;2020;1;enero
Negocio;5.409.183,00;2019;12;diciembre
Negocio;5.024.439,00;2019;11;noviembre
Negocio;4.534.337,00;2019;10;octubre
Negocio;3.956.671,00;2019;9;septiembre
Negocio;3.442.658,00;2019;8;agosto
Negocio;3.255.821,00;2019;7;julio
Negocio;2.830.006,00;2019;6;junio
Negocio;2.240.942,00;2019;5;mayo
Negocio;1.695.951,00;2019;4;abril
Negocio;1.255.893,00;2019;3;marzo
Negocio;768.676,00;2019;2;febrero
Negocio;342.198,00;2019;1;enero
Negocio;5.023.355,00;2018;12;diciembre
Negocio;4.702.239,00;2018;11;noviembre
Negocio;4.257.121,00;2018;10;octubre
Negocio;3.731.343,00;2018;9;septiembre
Negocio;3.223.979,00;2018;8;agosto
Negocio;3.058.788,00;2018;7;julio
Negocio;2.721.772,00;2018;6;junio
Negocio;2.229.305,00;2018;5;mayo
Negocio;1.806.383,00;2018;4;abril
Negocio;1.292.104,00;2018;3;marzo
Negocio;705.278,00;2018;2;febrero
Negocio;270.147,00;2018;1;enero
Negocio;4.720.463,00;2017;12;diciembre
Negocio;4.377.159,00;2017;11;noviembre
Negocio;3.998.447,00;2017;10;octubre
Negocio;3.508.080,00;2017;9;septiembre
Negocio;2.995.612,00;2017;8;agosto
Negocio;2.828.260,00;2017;7;julio
Negocio;2.473.142,00;2017;6;junio
Negocio;1.970.935,00;2017;5;mayo
Negocio;1.476.970,00;2017;4;abril
Negocio;1.113.197,00;2017;3;marzo
Negocio;669.061,00;2017;2;febrero
Negocio;323.058,00;2017;1;enero
Negocio;4.679.698,00;2016;12;diciembre
Negocio;4.341.534,00;2016;11;noviembre
Negocio;3.924.705,00;2016;10;octubre
Negocio;3.379.053,00;2016;9;septiembre
Negocio;2.982.609,00;2016;8;agosto
Negocio;2.860.235,00;2016;7;julio
Negocio;2.556.752,00;2016;6;junio
Negocio;2.114.623,00;2016;5;mayo
Negocio;1.635.895,00;2016;4;abril
Negocio;1.176.696,00;2016;3;marzo
Negocio;788.935,00;2016;2;febrero
Negocio;347.876,00;2016;1;enero
Otros motivos;2.053.516,00;2020;12;diciembre
Otros motivos;1.892.996,00;2020;11;noviembre
Otros motivos;1.812.821,00;2020;10;octubre
Otros motivos;1.663.469,00;2020;9;septiembre
Otros motivos;1.502.064,00;2020;8;agosto
Otros motivos;1.276.242,00;2020;7;julio
Otros motivos;1.030.979,00;2020;6;junio
Otros motivos;1.007.021,00;2020;5;mayo
Otros motivos;1.007.021,00;2020;4;abril
Otros motivos;1.007.021,00;2020;3;marzo
Otros motivos;803.991,00;2020;2;febrero
Otros motivos;385.013,00;2020;1;enero
Otros motivos;5.123.547,00;2019;12;diciembre
Otros motivos;4.736.712,00;2019;11;noviembre
Otros motivos;4.387.643,00;2019;10;octubre
Otros motivos;4.005.834,00;2019;9;septiembre
Otros motivos;3.622.250,00;2019;8;agosto
Otros motivos;3.142.170,00;2019;7;julio
Otros motivos;2.670.361,00;2019;6;junio
Otros motivos;2.243.149,00;2019;5;mayo
Otros motivos;1.786.923,00;2019;4;abril
Otros motivos;1.293.514,00;2019;3;marzo
Otros motivos;816.455,00;2019;2;febrero
Otros motivos;413.090,00;2019;1;enero
Otros motivos;5.612.005,00;2018;12;diciembre
Otros motivos;5.149.730,00;2018;11;noviembre
Otros motivos;4.821.343,00;2018;10;octubre
Otros motivos;4.404.687,00;2018;9;septiembre
Otros motivos;3.966.803,00;2018;8;agosto
Otros motivos;3.326.962,00;2018;7;julio
Otros motivos;2.714.054,00;2018;6;junio
Otros motivos;2.160.345,00;2018;5;mayo
Otros motivos;1.646.802,00;2018;4;abril
Otros motivos;1.163.500,00;2018;3;marzo
Otros motivos;698.798,00;2018;2;febrero
Otros motivos;374.254,00;2018;1;enero
Otros motivos;6.060.956,00;2017;12;diciembre
Otros motivos;5.639.102,00;2017;11;noviembre
Otros motivos;5.301.821,00;2017;10;octubre
Otros motivos;4.854.068,00;2017;9;septiembre
Otros motivos;4.438.609,00;2017;8;agosto
Otros motivos;3.804.232,00;2017;7;julio
Otros motivos;3.093.874,00;2017;6;junio
Otros motivos;2.565.682,00;2017;5;mayo
Otros motivos;1.952.567,00;2017;4;abril
Otros motivos;1.300.430,00;2017;3;marzo
Otros motivos;825.709,00;2017;2;febrero
Otros motivos;440.081,00;2017;1;enero
Otros motivos;6.323.567,00;2016;12;diciembre
Otros motivos;5.787.222,00;2016;11;noviembre
Otros motivos;5.357.740,00;2016;10;octubre
Otros motivos;4.866.126,00;2016;9;septiembre
Otros motivos;4.387.820,00;2016;8;agosto
Otros motivos;3.779.622,00;2016;7;julio
Otros motivos;3.202.067,00;2016;6;junio
Otros motivos;2.682.802,00;2016;5;mayo
Otros motivos;2.128.566,00;2016;4;abril
Otros motivos;1.422.453,00;2016;3;marzo
Otros motivos;930.065,00;2016;2;febrero
Otros motivos;506.662,00;2016;1;enero
